ground_truth,predicted,count
e2e4,g2g3,1
g7g6,e7e5,1
e2e4,h2h3,1
e8e7,d8h4,1
g3h4,g3h4,1
c7c5,d7d5,1
e2e4,b2b3,1
c7c5,c8h3,1
f1h3,f1h3,1
c7c5,f7f5,1
h3f5,h3f5,1
h7h6,f8b4,1
c2c3,f5h7,1
g8h7,g8h7,1
e1f1,c1a3,1
b4a3,b4a3,1
f2f3,d2d4,1
e5d4,a3b4,1
e1f1,d1d2,1
b4d2,b4d2,1
e1d2,e1d2,1
e5d4,e5d4,1
g1h2,e2e4,1
h7e4,d4e3,1
f2e3,d2e3,1
g7g6,h7c2,1
b1c2,b1c2,1
e8f8,d5d4,1
e3d2,e3d4,1
e8f8,c7c5,1
d4d5,d4c5,1
b7b6,b8d6,1
c5d6,c5d6,1
e8d8,a8d8,1
d6e6,d6e5,1
e8d7,d8d5,1
e5d5,e5d5,1
e8f8,h8f7,1
a1e1,c2b1,1
f7h8,f7e5,1
d5e5,d5e5,1
e8f8,e8d7,1
b1e4,e5e4,1
d7c8,d7e7,2
b1d3,h4h5,1
e7f8,e7d7,1
b1d3,h5h6,1
g7h6,g7h6,1
b1d3,b3b4,1
b1d3,b4b5,1
e7d8,e7f7,1
b1c2,b5b6,1
a7b6,a7b6,1
b1d3,a2a3,1
f7f8,b6b5,1
b1a2,a3a4,1
b5a4,b5a4,1
a1a4,a1a4,1
f7e8,f7e7,1
e4e5,a4a1,1
e7f8,e7f7,5
b1d3,b1a2,1
f7f8,f7e7,5
a2d5,e4d5,1
a2c4,d5e5,4
a2d5,e5d5,4
