game,move,player,predicted,ground_truth,correct,nodes,time_s
1,1,White,g2g3,e2e4,0,17,0.004
1,2,Black,e7e5,g7g6,0,17,0.003
1,3,White,h2h3,e2e4,0,17,0.003
1,4,Black,d8h4,e8e7,0,26,0.005
1,5,White,g3h4,g3h4,1,16,0.003
1,6,Black,d7d5,c7c5,0,23,0.004
1,7,White,b2b3,e2e4,0,16,0.003
1,8,Black,c8h3,c7c5,0,28,0.006
1,9,White,f1h3,f1h3,1,18,0.004
1,10,Black,f7f5,c7c5,0,22,0.004
1,11,White,h3f5,h3f5,1,21,0.004
1,12,Black,f8b4,h7h6,0,24,0.006
1,13,White,f5h7,c2c3,0,23,0.005
1,14,Black,g8h7,g8h7,1,28,0.005
1,15,White,c1a3,e1f1,0,14,0.003
1,16,Black,b4a3,b4a3,1,31,0.006
1,17,White,d2d4,f2f3,0,14,0.003
1,18,Black,a3b4,e5d4,0,30,0.006
1,19,White,d1d2,e1f1,0,3,0.001
1,20,Black,b4d2,b4d2,1,31,0.007
1,21,White,e1d2,e1d2,1,3,0.001
1,22,Black,e5d4,e5d4,1,23,0.004
1,23,White,e2e4,g1h2,0,15,0.003
1,24,Black,d4e3,h7e4,0,22,0.004
1,25,White,d2e3,f2e3,0,7,0.001
1,26,Black,h7c2,g7g6,0,22,0.004
1,27,White,b1c2,b1c2,1,14,0.003
1,28,Black,d5d4,e8f8,0,16,0.004
1,29,White,e3d4,e3d2,0,7,0.001
1,30,Black,c7c5,e8f8,0,15,0.003
1,31,White,d4c5,d4d5,0,7,0.002
1,32,Black,b8d6,b7b6,0,19,0.004
1,33,White,c5d6,c5d6,1,5,0.001
1,34,Black,a8d8,e8d8,0,15,0.003
1,35,White,d6e5,d6e6,0,4,0.001
1,36,Black,d8d5,e8d7,0,22,0.004
1,37,White,e5d5,e5d5,1,4,0.001
1,38,Black,h8f7,e8f8,0,13,0.003
1,39,White,c2b1,a1e1,0,25,0.004
1,40,Black,f7e5,f7h8,0,16,0.003
1,41,White,d5e5,d5e5,1,20,0.004
1,42,Black,e8d7,e8f8,0,11,0.002
1,43,White,e5e4,b1e4,0,19,0.003
1,44,Black,d7e7,d7c8,0,14,0.002
1,45,White,h4h5,b1d3,0,18,0.003
1,46,Black,e7d7,e7f8,0,14,0.002
1,47,White,h5h6,b1d3,0,18,0.003
1,48,Black,g7h6,g7h6,1,15,0.003
1,49,White,b3b4,b1d3,0,17,0.004
1,50,Black,d7e7,d7c8,0,13,0.002
1,51,White,b4b5,b1d3,0,17,0.003
1,52,Black,e7f7,e7d8,0,12,0.002
1,53,White,b5b6,b1c2,0,17,0.003
1,54,Black,a7b6,a7b6,1,12,0.002
1,55,White,a2a3,b1d3,0,16,0.003
1,56,Black,b6b5,f7f8,0,10,0.002
1,57,White,a3a4,b1a2,0,17,0.003
1,58,Black,b5a4,b5a4,1,12,0.002
1,59,White,a1a4,a1a4,1,18,0.003
1,60,Black,f7e7,f7e8,0,11,0.002
1,61,White,a4a1,e4e5,0,25,0.005
1,62,Black,e7f7,e7f8,0,11,0.002
1,63,White,b1a2,b1d3,0,22,0.004
1,64,Black,f7e7,f7f8,0,6,0.001
1,65,White,e4d5,a2d5,0,24,0.004
1,66,Black,e7f7,e7f8,0,9,0.001
1,67,White,d5e5,a2c4,0,18,0.003
1,68,Black,f7e7,f7f8,0,5,0.001
1,69,White,e5d5,a2d5,0,21,0.004
1,70,Black,e7f7,e7f8,0,9,0.001
1,71,White,d5e5,a2c4,0,18,0.003
1,72,Black,f7e7,f7f8,0,5,0.001
1,73,White,e5d5,a2d5,0,21,0.004
1,74,Black,e7f7,e7f8,0,9,0.001
1,75,White,d5e5,a2c4,0,18,0.003
1,76,Black,f7e7,f7f8,0,5,0.001
1,77,White,e5d5,a2d5,0,21,0.004
1,78,Black,e7f7,e7f8,0,9,0.002
1,79,White,d5e5,a2c4,0,18,0.003
1,80,Black,f7e7,f7f8,0,5,0.001
1,81,White,e5d5,a2d5,0,21,0.005
